ACRE,AresCommercialRealEstate,AresCommercialRealEstateCorporationaspecializedfinancecompanyoriginatesandinvestsincommercialrealestateloansCREandrelatedinvestmentsintheUnitedStates.ThecompanyisheadquarteredinNewYorkNewYork.,NYSE,REALESTATECONSTRUCTION,REALESTATEINVESTMENTTRUSTS,504567000,54607000
ACRO,AcropolisInfrastructureAcquisitionCorp,AcropolisInfrastructureAcquisitionCorp.ThecompanyisheadquarteredinNewYorkNewYork.,NYSE,REALESTATECONSTRUCTION,BLANKCHECKS,439875000,34500000
ACRS,AclarisTherapeuticsInc,AclarisTherapeuticsInc.isaclinical-stagebiopharmaceuticalcompanydevelopingalineofnovelsmallmoleculetherapeuticstoaddresstheneedsofpatientswithimmuno-inflammatorydiseases.ThecompanyisheadquarteredinWaynePennsylvania.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,607136000,70679000
ACRV,AcrivonTherapeuticsInc.CommonStock,AcrivonTherapeuticsInc.aclinical-stagebiopharmaceuticalcompanyisdedicatedtothedevelopmentofprecisioncancermedicines.ThecompanyisheadquarteredinWatertownMassachusetts.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,267716000,21926000
ACRX,AcelRxPharmaceuticalsInc,AcelRxPharmaceuticalsInc.aspecialtypharmaceuticalcompanyfocusesonthedevelopmentandcommercializationoftherapiesforthetreatmentofacutepain.ThecompanyisheadquarteredinRedwoodCityCalifornia.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,9722600,10924300
ACST,AcastiPharmaInc,AcastiPharmaInc.abiopharmaceuticalcompanyfocusesontheresearchdevelopmentandmarketingofprescriptiondrugsforthetreatmentofcardiovasculardisease.ThecompanyisheadquarteredinLavalCanada.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,22529500,44612800
ACT,EnactHoldingsInc,None,NASDAQ,FINANCE,INSURANCEAGENTSBROKERSSERVICE,3937729000,161581000
ACTG,AcaciaResearchCorporation,AcaciaResearchCorporationintendstoacquireundervaluedbusinessesprimarilyinthetechnologylifesciencesindustryandfinancialservicessegmentsintheUnitedStates.ThecompanyisheadquarteredinNewYorkNewYork.,NASDAQ,REALESTATECONSTRUCTION,PATENTOWNERSLESSORS,221911000,58552000
ACVA,ACVAuctionsInc,ACVAuctionsInc.operatesadigitalmarketplacethatconnectsbuyersandsellersforonlinewholesalevehicleauctions.ThecompanyisheadquarteredinBuffaloNewYork.,NASDAQ,TRADESERVICES,SERVICES-BUSINESSSERVICESNEC,2820920000,129596000
ACXP,AcurxPharmaceuticalsLLC,AcurxPharmaceuticalsLLCaclinical-stagebiopharmaceuticalcompanydevelopsantibioticstotreatbacterialinfections.ThecompanyisheadquarteredinStatenIslandNewYork.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,34782000,11671800
ADAG,AdageneInc,AdageneInc.aclinical-stagebiopharmaceuticalcompanyisdedicatedtotheresearchdevelopmentandproductionofmonoclonalantibodydrugsforcancer.ThecompanyisheadquarteredinSuzhouChina.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,64565000,43772700
ADAL,AnthemisDigitalAcquisitionsICorp,AnthemisDigitalAcquisitionsICorpintendstoeffectamergerequityexchangeassetacquisitionsharepurchasereorganizationorsimilarbusinesscombinationwithoneormorecompanies.ThecompanyisheadquarteredinNewYorkNewYork.,NASDAQ,REALESTATECONSTRUCTION,BLANKCHECKS,316063000,23000000
ADAP,AdaptimmuneTherapeuticsPlc,AdaptimmuneTherapeuticsplcaclinical-stagebiopharmaceuticalcompanyfocusesonprovidingnovelcelltherapiesprimarilytosolidtumorpatientsintheUnitedStatesandtheUnitedKingdom.ThecompanyisheadquarteredinAbingdontheUnitedKingdom.,NASDAQ,LIFESCIENCES,BIOLOGICALPRODUCTSNODISGNOSTICSUBSTANCES,203813000,165702000
ADBE,AdobeSystemsIncorporated,AdobeInc.isanAmericanmultinationalcomputersoftwarecompany.IncorporatedinDelawareandheadquarteredinSanJoseCaliforniaithashistoricallyspecializedinsoftwareforthecreationandpublicationofawiderangeofcontentincludinggraphicsphotographyillustrationanimationmultimediamotionpicturesandprint.Thecompanyhasexpandedintodigitalmarketingmanagementsoftware.Adobehasmillionsofusersworldwide.FlagshipproductsincludePhotoshopimageeditingsoftwareAdobeIllustratorvector-basedillustrationsoftwareAdobeAcrobatReaderandthePortableDocumentFormatPDFplusahostoftoolsprimarilyforaudio-visualcontentcreationeditingandpublishing.,NASDAQ,TECHNOLOGY,SERVICES-PREPACKAGEDSOFTWARE,169911665000,458700000
ADC,AgreeRealtyCorporation,AgreeRealtyCorporationisapubliclytradedrealestateinvestmenttrustprimarilyengagedintheacquisitionanddevelopmentofnetleasedpropertiestoindustryleadingretailtenants.,NYSE,REALESTATECONSTRUCTION,REALESTATEINVESTMENTTRUSTS,6109495000,93198000
ADCT,ADCTherapeuticsSA,ADCTherapeuticsSAabiotechnologycompanyfocusedonclinicalstageoncologydevelopsAntibodyDrugConjugatesADCforpatientssufferingfromhematologicmalignanciesandsolidtumors.ThecompanyisheadquarteredinEpalingesSwitzerland.,NYSE,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,205638000,80642000
ADD,ColorStarTechnologyCo.Ltd.,None,NASDAQ,REALESTATECONSTRUCTION,CONSTRUCTION-SPECIALTRADECONTRACTORS,11770700,9569700
ADEA,ADEIACORP,AdeiaInc.isaglobalconsumerandentertainmentproductssolutionslicensingcompany.ThecompanyisheadquarteredinSanJoseCalifornia.,NASDAQ,MANUFACTURING,SEMICONDUCTORSRELATEDDEVICES,979355000,106336000
ADER,26CapitalAcquisitionCorp,26CapitalAcquisitionCorp.ThecompanyisheadquarteredinMiamiFlorida.,NASDAQ,REALESTATECONSTRUCTION,BLANKCHECKS,110265000,3430200
ADES,AdvancedEmissionsSolutionsInc,AdvancedEmissionsSolutionsInc.providesenvironmentaltechnologiesandspecialtychemicalsintheUnitedStates.ThecompanyisheadquarteredinGreenwoodVillageColorado.,NASDAQ,LIFESCIENCES,MISCELLANEOUSCHEMICALPRODUCTS,37576000,27229000
ADI,AnalogDevicesInc,AnalogDevicesInc.ADIalsoknownsimplyasAnalogisanAmericanmultinationalsemiconductorcompanyspecializingindataconversionsignalprocessingandpowermanagementtechnologyheadquarteredinWilmingtonMassachusetts.,NASDAQ,MANUFACTURING,SEMICONDUCTORSRELATEDDEVICES,95059894000,505853000
